Date,BFSI
Aug-03,-0.746
Aug-03,-0.756
Aug-03,-0.762
Sep-03,-0.769
Sep-03,-0.774
Sep-03,-0.778
Sep-03,-0.781
Sep-03,-0.783
Sep-03,-0.783
Sep-03,-0.783
Sep-03,-0.783
Sep-03,-0.784
Sep-03,-0.785
Sep-03,-0.787
Sep-03,-0.789
Sep-03,-0.792
Sep-03,-0.797
Sep-03,-0.803
Sep-03,-0.81
Sep-03,-0.817
Sep-03,-0.822
Sep-03,-0.823
Sep-03,-0.82
Sep-03,-0.815
Sep-03,-0.81
Oct-03,-0.807
Oct-03,-0.807
Oct-03,-0.811
Oct-03,-0.816
Oct-03,-0.821
Oct-03,-0.825
Oct-03,-0.827
Oct-03,-0.83
Oct-03,-0.832
Oct-03,-0.836
Oct-03,-0.842
Oct-03,-0.85
Oct-03,-0.859
Oct-03,-0.868
Oct-03,-0.875
Oct-03,-0.881
Oct-03,-0.885
Oct-03,-0.887
Oct-03,-0.888
Oct-03,-0.887
Oct-03,-0.887
Oct-03,-0.888
Oct-03,-0.889
Nov-03,-0.89
Nov-03,-0.891
Nov-03,-0.893
Nov-03,-0.893
Nov-03,-0.894
Nov-03,-0.895
Nov-03,-0.895
Nov-03,-0.895
Nov-03,-0.895
Nov-03,-0.895
Nov-03,-0.896
Nov-03,-0.897
Nov-03,-0.897
Nov-03,-0.898
Nov-03,-0.898
Nov-03,-0.898
Nov-03,-0.899
Nov-03,-0.902
Nov-03,-0.906
Nov-03,-0.912
Dec-03,-0.918
Dec-03,-0.923
Dec-03,-0.927
Dec-03,-0.93
Dec-03,-0.931
Dec-03,-0.932
Dec-03,-0.933
Dec-03,-0.934
Dec-03,-0.934
Dec-03,-0.935
Dec-03,-0.935
Dec-03,-0.935
Dec-03,-0.934
Dec-03,-0.935
Dec-03,-0.937
Dec-03,-0.941
Dec-03,-0.945
Dec-03,-0.949
Dec-03,-0.953
Dec-03,-0.955
Dec-03,-0.956
Dec-03,-0.956
Dec-03,-0.956
Jan-04,-0.955
Jan-04,-0.954
Jan-04,-0.954
Jan-04,-0.955
Jan-04,-0.957
Jan-04,-0.961
Jan-04,-0.967
Jan-04,-0.974
Jan-04,-0.981
Jan-04,-0.988
Jan-04,-0.994
Jan-04,-1.002
Jan-04,-1.008
Jan-04,-1.015
Jan-04,-1.021
Jan-04,-1.027
Jan-04,-1.03
Jan-04,-1.032
Jan-04,-1.033
Jan-04,-1.032
Jan-04,-1.029
Jan-04,-1.024
Feb-04,-1.018
Feb-04,-1.009
Feb-04,-0.998
Feb-04,-0.987
Feb-04,-0.976
Feb-04,-0.968
Feb-04,-0.962
Feb-04,-0.96
Feb-04,-0.961
Feb-04,-0.965
Feb-04,-0.969
Feb-04,-0.974
Feb-04,-0.977
Feb-04,-0.98
Feb-04,-0.982
Feb-04,-0.984
Feb-04,-0.984
Feb-04,-0.984
Feb-04,-0.984
Feb-04,-0.985
Mar-04,-0.987
Mar-04,-0.991
Mar-04,-0.995
